ankle_dist,foot_spread,foot_y_std,left_straightness,right_straightness,left_turnout_angle,right_turnout_angle,cross_factor,left_leg_len,right_leg_len,heel_toe_overlap_left,heel_toe_overlap_right,ankle_x_dist,left_foot_vis,right_foot_vis,back_heel_to_front_bigtoe,back_heel_to_front_smalltoe,label,video_id
0.2747122857932654,0.8871615783589056,16.751952319610584,4.766034090909097,2.7303863636363674,0.0,0.0,-1.0,382.82433060008174,393.6880299864381,0.6234780456524843,0.055486431085039,0.2723863670794621,1.693181818181818,2.772727272727273,0.6234780456524843,0.4418801829597125,0,1_d1_s2_o2_c1
0.264216233307344,0.6804155128374922,12.775315312371434,10.394000000000004,6.965199999999993,0.0,0.0,1.0,355.4418077763633,358.7974129802275,0.5973271781715258,0.0,0.2640755082246988,1.2,3.0,0.1214794086055638,0.0,0,1_d1_s5_o10_c1
0.2986431157410694,0.9605129395671764,13.87545439657551,6.67092307692308,4.440769230769219,0.0,0.0,-1.0,381.985000839715,393.331314972709,0.638144337020055,0.0840790363364635,0.2982820852287343,1.8461538461538465,3.0,0.638144337020055,0.5753276098327713,0,1_d1_s5_o4_c1
0.2652920562432255,0.6430584478714697,10.547232761023324,9.950944444444444,11.234266666666672,0.0,0.0,1.0,380.1572601065485,383.0720676307915,0.5850057988410312,0.0303477421164999,0.2648775587505825,1.2,2.977777777777778,0.080869781247629,0.0303477421164999,0,1_d1_s5_o5_c1(2)
0.2719719902174316,1.0010462721964513,15.84869715448933,0.9209999999999924,1.7622500000000088,0.0,0.0,1.0,408.5754221171608,400.76219489881953,0.5799908641575902,0.5699805691638191,0.2717309167881102,3.0,3.0,0.5802646915014062,0.5699805691638191,0,1_d1_s5_o7_c1_2
0.2605010839739419,1.0122347150954856,12.144197616167588,22.1919,11.308766666666672,0.0,0.0,1.0,375.7709736969763,378.7557258148476,0.5794109049503974,0.568321947681428,0.2603597824628451,3.0,3.0,0.5908783094539516,0.568321947681428,0,1_d1_s6_o10_c1 (2)
0.2426374311668431,0.9235521615016706,17.009104677769056,3.468999999999994,6.95999999999998,0.0,0.0,1.0,443.30770983899686,448.5619997993716,0.5469444833035693,0.5040154309680587,0.2425760350624,3.0,3.0,0.518182422918392,0.5040154309680587,0,1_d1_s6_o7_c1
0.2505440053611958,0.9493062185952504,14.563910230968917,5.9101212121212106,8.794757575757572,0.0,0.0,-0.5151515151515151,396.67987874248007,395.5133700634244,0.6002781895548597,0.2253312568983723,0.2482866250713293,2.1818181818181817,2.757575757575758,0.6009973806113014,0.5398407206244423,0,1_d1_s7_o2_c1
0.2964307967910287,1.1146926214098514,5.991573144528355,9.452213333333331,15.968319999999997,0.0,0.0,1.0,280.2367828532941,287.77817158693244,0.6432842852898064,0.5793574726083188,0.2951189198077491,2.933333333333333,2.9066666666666667,0.6259050051244543,0.5793574726083188,0,1_d2_s1_o1_c1
0.2601512280716355,1.0938290214792987,13.64513305444247,6.31785333333333,2.6001333333333334,0.0,0.0,-1.0,354.2884039374063,352.43678144936393,0.6104416483935324,0.5793927798322772,0.2597291008996613,3.0,3.0,0.6104416483935324,0.5484126892643576,0,1_d2_s2_o8_c1
0.3149370410292812,1.1561621257256425,16.798032551939958,2.247982456140354,2.167070175438594,0.0,0.0,-1.0,373.1925298271928,371.7866516421059,0.683896329092587,0.0,0.3146542539939916,1.947368421052632,2.3684210526315788,0.683896329092587,0.2344666495193233,0,1_d2_s3_o7_c1
0.2634920156101358,0.8969463919896399,8.175172720920733,12.894803921568627,4.899176470588233,0.0,0.0,1.0,342.39476859310946,349.132632137499,0.3838105847335499,0.5930415217690076,0.2632386375910339,3.0,2.1372549019607843,0.608998296750601,0.5930415217690076,0,1_d3_s1_o1_c1
0.2782423371724041,0.9968064592901804,6.14439341180096,7.738925000000002,12.79825,0.0,0.0,1.0,276.6590429087992,277.01433083520413,0.5314326690363724,0.5639127081529557,0.2761918059381018,2.95,2.7,0.6036098077237491,0.5639127081529557,0,1_d4_s1_o1_c1
0.2497078881859831,0.623519583347072,11.379888015081258,12.343571428571428,11.586071428571437,0.0,0.0,1.0,289.87125900610505,297.46423204046266,0.0435079927916078,0.585786202395483,0.2474355846152492,3.0,1.0714285714285714,0.5948541300574862,0.585786202395483,0,1_d5_s1_o1_c1
0.517404626184171,1.275525228170686,14.819078728365229,16.02579411764706,18.937029411764712,0.0,0.0,1.0,381.1465239043112,398.4218862241413,0.7680922417674065,0.2962300050856701,0.5170757138730162,2.3529411764705883,1.8823529411764703,0.8512361577774542,0.2962300050856701,1,2_d1_s2_o10_c1
0.5265925293526674,1.3754281180649723,15.631671754486147,25.144999999999985,35.673,0.0,0.0,-1.0,384.1348640074212,392.13398347121097,0.8910823668424817,0.0,0.5258642045547713,2.0,3.0,0.8910823668424817,0.8368903327454932,1,2_d1_s2_o2_c1
0.5070653109327532,0.8837548330210756,19.922045108964657,30.99920000000001,22.574400000000004,0.0,0.0,-1.0,406.1077084022924,414.8249352817495,0.8890100071808383,0.0,0.5062792683860169,1.0,3.0,0.8890100071808383,0.837824685232057,1,2_d1_s2_o3_c1
0.5558820193970456,0.8890142933268518,11.507147446157823,11.11057,26.693909999999995,0.0,0.0,1.0,354.5710873923519,349.044529918017,0.8920413462069634,0.0,0.555858305505377,1.0,3.0,0.0,0.0,1,2_d1_s5_o10_c1
0.5734294083809325,0.8684782359272561,13.80118454155295,48.81,31.40799999999996,0.0,0.0,-1.0,407.96341403243497,420.2323544338298,0.8704741577817634,0.0,0.5731809048953578,1.0,3.0,0.8704741577817634,0.7971731327139504,1,2_d1_s5_o2_c1
0.5304827130106055,1.1933845055404744,13.742266610817186,52.54192307692308,28.880538461538453,0.0,0.0,-1.0,382.9706980600488,401.2621286838931,0.8513860735312387,0.3234387815715447,0.5301557087909096,2.076923076923077,3.0,0.8513860735312387,0.8064161047642379,1,2_d1_s5_o4_c1(2)
0.5000836826021002,1.3435496953581982,9.808311263161755,47.076709677419366,39.20158064516129,0.0,0.0,-1.0,404.1123792426277,414.4463886076691,0.8628106918310072,0.8186471034213183,0.4998834730488919,3.0,2.870967741935484,0.8628106918310072,0.6980310025977309,1,2_d1_s5_o4_c1
0.5039294477676771,1.2951622884377658,12.38785984569626,24.25574528301887,35.31195283018869,0.0,0.0,1.0,387.4312032038968,381.951306277261,0.8297480751042439,0.583649483279614,0.5038018913654723,2.707547169811321,2.9056603773584904,0.835980628096152,0.583649483279614,1,2_d1_s5_o5_c1(2)
0.4914166837635667,0.8124659805738054,10.893092479746414,28.203140845070426,26.419690140845077,0.0,0.0,1.0,391.8673876441613,386.58688725277926,0.8139508483511514,0.0,0.4913526111152659,1.0,3.0,0.0,0.0,1,2_d1_s5_o5_c1
0.5955416839180354,1.3107131729793218,11.869325414495114,28.347199999999997,46.2049142857143,0.0,0.0,1.0,415.0200929518716,409.9783208674595,0.9229413284697484,0.7884307974834422,0.5955149743615552,3.0,2.914285714285714,0.7931134389966976,0.7884307974834422,1,2_d1_s5_o7_c1_2
0.5306038365502684,0.8377006790583282,18.842976621676414,34.57,17.870571428571438,0.0,0.0,-1.0,403.8713383226907,421.8798347411003,0.8419749520298229,0.0,0.5300993113624245,1.0,3.0,0.8419749520298229,0.799291254563431,1,2_d1_s5_o8_c1
0.4992898864611234,1.222772624703946,16.55944371717443,29.433697674418603,26.033906976744188,0.0,0.0,1.0,447.8840423945746,461.3815908562191,0.8168027701008996,0.7039386253347797,0.4992397774889794,2.9069767441860463,2.8372093023255816,0.7964408599039353,0.7039386253347797,1,2_d1_s6_o7_c1
0.4949166403614198,1.0063691955659542,13.75928675495354,16.790588235294113,34.47864705882354,0.0,0.0,1.0,410.3550607746079,409.2538417909095,0.3167984792013221,0.5785214968904823,0.494873800469601,2.7058823529411766,1.3823529411764706,0.8298707781927908,0.5785214968904823,1,2_d1_s7_o2_c1
0.4906991018081983,1.386927322413667,16.309067235624244,37.28862365591399,28.04222580645161,0.0,0.0,-1.0,395.5395621676052,410.6583908783927,0.8823253615353225,0.4681522661369438,0.4905713644345832,2.5698924731182795,2.989247311827957,0.8823253615353225,0.8223186214597384,1,2_d1_s7_o3_c1
0.5483297767142036,0.9284355355827928,17.03310136479406,35.70049999999998,42.83700000000002,0.0,0.0,1.0,440.88280183865584,432.6255547861368,0.9307644887798774,0.0,0.5479364102615019,1.0,3.0,0.0,0.0,1,2_d1_s7_o7_c1
0.7747933250276321,1.6272781348694634,3.708395329108828,33.23877419354839,32.074048387096774,0.0,0.0,1.0,295.8752989450823,296.9821440199209,1.0530053955932326,1.1751726484643723,0.7744196554209892,3.0,2.677419354838709,1.1892773005464787,1.1751726484643723,1,2_d2_s1_o1_c1
0.7178535809722215,1.1310845282514708,10.058746937278194,48.38474468085108,40.95231914893616,0.0,0.0,-1.0,359.1716591918947,366.1579510243404,0.0717770179340272,1.043965550314862,0.7177794139653866,3.0,1.0638297872340423,0.0717770179340272,0.0,1,2_d2_s2_o8_c1
0.5816997590961888,1.3314131452889832,17.19463092336997,27.094984375,26.112703125,0.0,0.0,-1.0,377.3111579695927,369.3090369437707,0.9947679032380584,0.0721720896754467,0.5816028126294477,1.703125,2.984375,0.9947679032380584,0.9337597049037758,1,2_d2_s3_o7_c1
0.8047626319970587,1.6021259594932735,7.18783080902913,21.135729411764704,39.97403529411764,0.0,0.0,1.0,324.2313032581537,327.7155851582569,1.1429185905817838,1.0751284387602908,0.8047041547259741,2.929411764705882,2.988235294117647,1.122318764538304,1.0751284387602908,1,2_d3_s1_o1_c1
0.89767207689392,1.7055434938714753,5.767011198209254,24.525088235294128,33.62473529411765,0.0,0.0,0.5882352941176471,296.85353912882766,296.96353328551106,1.2036041945937992,1.0170342947925448,0.8964718708318686,2.794117647058824,2.823529411764706,1.2219978100655862,1.022531719399128,1,2_d4_s1_o1_c1
0.761528861082471,1.6434185016387952,9.202334529734292,37.62467999999999,14.01622,0.0,0.0,1.0,266.664773183086,262.7038911077003,1.1371491988952582,1.117339857002703,0.7611933801364853,3.0,3.0,1.132357773352849,1.117339857002703,1,2_d5_s1_o1_c1
0.1470456966735203,0.5549755481054418,21.479805287467133,7.050999999999988,17.66999999999996,0.0,0.0,-1.0,334.75926548192814,363.3219406586946,0.5702143111629681,0.0,0.1413675072927268,1.0,3.0,0.5702143111629681,0.5336188408731876,2,3_d1_s5_o3_c2(2)
0.036436473352711,0.5340881544100984,5.358874152982144,42.69499999999999,36.146000000000015,0.0,0.0,-1.0,321.39647062312304,330.259996808575,0.0,0.4754074134408355,0.0302521358802693,3.0,1.0,0.0,0.0,2,3_d2_s1_o1_c1
0.5150593359275544,0.5777573443768035,44.73371153280263,62.606,79.92700000000002,0.0,0.0,-1.0,312.3622893564458,421.30211859187233,0.0,0.3774152468506728,0.4358205148511498,3.0,1.0,0.0,0.0,3,4_d2_s1_o1_c1
0.4651051515712482,0.5146811498676654,42.40157731050178,55.20433333333335,63.20666666666663,0.0,0.0,-1.0,277.3447694486576,377.4242971851574,0.0,0.3861630134515835,0.3676747137964616,3.0,1.0,0.0,0.0,3,4_d4_s1_o1_c1
0.4413460709370012,0.5679751418406696,52.73062565681954,55.68800000000002,38.717500000000015,0.0,0.0,1.0,341.3823634903359,268.6677516289012,0.0,0.4331952812677236,0.3410450066377661,3.0,1.0,0.4189105300542079,0.4331952812677236,3,4_d5_s1_o1_c1
0.3366354715648985,0.5163388508310394,11.438867000275858,51.16300000000001,44.14499999999998,0.0,0.0,-1.0,251.916192661369,234.5124376765548,0.5171287460635718,0.0,0.3344416628745397,1.0,3.0,0.5171287460635718,0.441021606098687,4,5_d1_s1_o1_c2
0.3171605905109932,0.5188035311177964,23.800552158084443,34.56544444444444,62.75016666666667,17.08518551057427,0.0,-1.0,351.68340712861607,418.01897904071393,0.0,0.4893636126297671,0.3093972583993938,3.0,1.0,0.0,0.0,4,5_d1_s7_o2_c1
0.3993906182732495,0.5068335172325329,17.999905166761835,83.4552,42.0398,0.0,0.0,1.0,304.2468968598976,286.4209300957983,0.0,0.1607741689618241,0.3947646906314405,3.0,1.0,0.1460652313118646,0.1607741689618241,4,5_d2_s1_o1_c1
0.3137508680007381,0.6154362297443668,8.83012622804,28.609833333333324,76.1465,0.0,0.0,1.0,268.1499240755268,286.03192268148825,0.0,0.4114712952597106,0.3118846664924788,1.1666666666666667,3.0,0.3073559703290315,0.4114712952597106,4,5_d2_s1_o1_c2
0.3292168486555862,0.4524954025625443,20.015400916414404,67.6995,30.71071875,0.0,0.0,0.9375,355.2803488256392,348.804822492908,0.1142077230319862,0.1656963240985765,0.3254737257268968,3.0,1.375,0.1420380192663772,0.1516106689905899,4,5_d2_s2_o8_c1
0.3083976438910561,0.4733421342406754,14.403804267399993,73.35766666666667,55.85333333333333,0.0,0.0,-1.0,363.54320131926767,354.60581970099867,0.4755381339630997,0.0,0.3079243615918314,1.0,3.0,0.4755381339630997,0.4465997117246791,4,5_d2_s2_o8_c2
0.1907905556221567,0.9488003678265706,13.89775724826444,19.511199999999995,5.935199999999997,0.0,0.0,-1.0,164.21003117774856,153.8577753742458,0.4499844143310758,0.239677241402216,0.1739060991143522,3.0,2.2,0.4499844143310758,0.2894803463836617,2,3_yt_c11
0.1911434920017273,0.7894301740861452,10.031946035208092,2.485028571428571,18.10377857142857,0.0,0.0,1.0,212.7716088139044,214.2506486337176,0.4203305351703219,0.3383183879811006,0.1909977036224612,2.7857142857142856,2.992857142857143,0.330205263252626,0.3383183879811006,2,3_yt_c1
0.8031978853095314,0.9572334185560588,16.734948314408747,18.07340099009901,36.6960594059406,88.74443974775788,144.0548273228241,-1.0,110.7100036142274,126.888566925394,0.831090433677686,0.5751495013434855,0.7943119340098336,3.0,3.0,0.831090433677686,0.7666579244657269,3,4_yt_c1
0.7348896576518649,1.4000148484435504,8.331519563232392,16.539423076923075,2.754619230769229,0.0,0.0,1.0,129.75816466065982,103.29594099957424,0.8116672626227464,0.5988487232446518,0.7250421486803318,2.6153846153846154,2.8076923076923075,0.9943068860982368,0.5988487232446518,3,4_yt_c2
0.5206918874166139,1.1655099771770243,14.285629041908438,0.1760344827586213,12.619228448275862,0.0,0.0,1.0,199.6523864706012,233.3906143509901,0.9116038112409884,0.6610565618337627,0.4950362155979768,3.0,2.0,0.6357882849487575,0.6610565618337627,3,4_yt_c3
0.6455107802002474,1.075822876754058,11.585390514656368,4.976596774193548,31.3835,0.0,0.0,1.0,200.09070600965444,220.22955038865896,0.8619199848237024,0.7239742289040038,0.6323533646687709,3.0,2.8548387096774195,0.703390626735668,0.7239742289040038,3,4_yt_c6
0.4157024688436012,0.5551420674604945,10.395106180444229,14.513285714285718,21.73665714285714,0.0,149.5998285789006,-1.0,121.3135783656842,128.7767995396053,0.4176606367430287,0.0,0.414905874987946,1.0,3.0,0.4176606367430287,0.3704054740675249,4,5_yt_c1
0.1925749587669589,0.5292210847041622,3.489245561228739,0.1699999999999978,13.93818181818182,0.0,108.62194358865776,1.0,140.87948060195467,139.62225070796492,0.5292874147781217,0.0,0.1921930610804963,1.0,3.0,0.0,0.0,4,5_yt_c3
